customer_id,credit_score,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,country_Germany,gender_Male
15634602,619,42,2,0.0,1,1,1,101348.88,1,False,False
15619304,502,42,8,159660.8,3,1,0,113931.57,1,False,False
15701354,699,39,1,0.0,2,0,0,93826.63,0,False,False
15592531,822,50,7,0.0,2,1,1,10062.8,0,False,True
15656148,376,29,4,115046.74,4,1,0,119346.88,1,True,False
15792365,501,44,4,142051.07,2,0,1,74940.5,0,False,True
15592389,684,27,2,134603.88,1,1,1,71725.73,0,False,True
15767821,528,31,6,102016.72,2,0,0,80181.12,0,False,True
15632264,476,34,10,0.0,2,1,0,26260.98,0,False,False
15691483,549,25,5,0.0,2,0,0,190857.79,0,False,False
15643966,616,45,3,143129.41,2,0,1,64327.26,0,True,True
15737452,653,58,1,132602.88,1,1,0,5097.67,1,True,True
15568982,726,24,6,0.0,2,1,1,54724.03,0,False,False
15577657,732,41,8,0.0,2,1,1,170886.17,0,False,True
15725737,669,46,3,0.0,2,0,1,8487.75,0,False,True
15625047,846,38,5,0.0,1,1,1,187616.16,0,False,False
15738191,577,25,3,0.0,2,0,1,124508.29,0,False,True
15736816,756,36,2,136815.64,1,1,1,170041.95,0,True,True
15700772,571,44,9,0.0,2,0,0,38433.35,0,False,True
15728693,574,43,3,141349.43,1,1,1,100187.43,0,True,False
15656300,411,29,0,59697.17,2,1,1,53483.21,0,False,True
15706552,533,36,7,85311.7,1,0,1,156731.91,0,False,True
15750181,553,41,9,110112.54,2,0,0,81898.81,0,True,True
15794171,475,45,0,134264.04,1,1,0,27822.99,1,False,False
15717426,850,36,7,0.0,1,1,1,40812.9,0,False,True
15585768,582,41,6,70349.48,2,0,1,178074.04,0,True,True
15738148,465,51,8,122522.32,1,0,0,181297.65,1,False,False
15687946,556,61,2,117419.35,1,1,1,94153.83,0,False,False
15755196,834,49,2,131394.56,1,0,0,194365.76,1,False,False
15754849,776,32,4,109421.13,2,1,1,126517.46,0,True,False
15602280,829,27,9,112045.67,1,1,1,119708.21,1,True,False
15771573,637,39,9,137843.8,1,1,1,117622.8,1,True,False
15766205,550,38,2,103391.38,1,0,1,90878.13,0,True,True
15771873,776,37,2,103769.22,2,1,0,194099.12,0,True,False
15616550,698,44,10,116363.37,2,1,0,198059.16,0,True,True
15768193,585,36,5,146050.97,2,0,0,86424.57,0,True,True
15683553,788,33,5,0.0,2,0,0,116978.19,0,False,False
15702298,655,41,8,125561.97,1,0,0,164040.94,1,True,True
15569590,601,42,1,98495.72,1,1,0,40014.76,1,True,True
15760861,619,43,1,125211.92,1,1,1,113410.49,0,False,True
15630053,656,45,5,127864.4,1,1,0,87107.57,0,False,True
15647091,725,19,0,75888.2,1,0,0,45613.75,0,True,True
15804771,614,51,4,40685.92,1,1,1,46775.28,0,False,True
15651280,742,35,5,136857.0,1,0,0,84509.57,0,True,True
15773469,687,27,9,152328.88,2,0,0,126494.82,0,True,False
15592461,603,26,4,109166.37,1,1,1,92840.67,0,True,True
15789484,751,36,6,169831.46,2,1,1,27758.36,0,True,False
15696061,581,34,1,101633.04,1,1,0,110431.51,0,True,False
15641582,735,43,10,123180.01,2,1,1,196673.28,0,True,True
15638424,661,35,5,150725.53,2,0,1,113656.85,0,True,False
15755648,675,21,8,98373.26,1,1,0,18203.0,0,False,False
15703793,738,58,2,133745.44,4,1,0,28373.86,1,True,True
15620344,813,29,6,0.0,1,1,0,33953.87,0,False,True
15779052,604,25,5,157780.84,2,1,1,58426.81,0,True,False
15770811,519,36,9,0.0,2,0,1,145562.4,0,False,True
15780961,735,21,1,178718.19,2,1,0,22388.0,0,False,False
15614049,664,55,8,0.0,2,1,1,139161.64,0,False,True
15662085,678,32,9,0.0,1,1,1,148210.64,0,False,False
15803136,416,41,10,122189.66,2,1,0,98301.61,0,True,False
15706021,665,34,1,96645.54,2,0,0,171413.66,0,False,False
15663706,777,32,2,0.0,1,1,0,136458.19,1,False,False
15641732,543,36,3,0.0,2,0,0,26019.59,0,False,False
15701164,506,34,4,90307.62,1,1,1,159235.29,0,False,False
15738751,493,46,4,0.0,2,1,0,1907.66,0,False,False
15625759,729,30,9,0.0,2,1,0,151869.35,0,False,True
15622897,646,46,4,0.0,3,1,0,93251.42,1,False,False
15767954,635,28,3,81623.67,2,1,1,156791.36,0,True,False
15731511,808,45,7,118626.55,2,1,0,147132.46,0,False,True
15809248,524,36,10,0.0,2,1,0,109614.57,0,False,False
15640635,769,29,8,0.0,2,1,1,172290.61,0,False,True
15693683,814,29,8,97086.4,2,1,1,197276.13,0,True,True
15633059,413,34,9,0.0,2,0,0,6534.18,0,False,True
15808582,665,40,6,0.0,1,1,1,161848.03,0,False,False
15743192,623,44,6,0.0,2,0,0,167162.43,0,False,False
15580146,738,31,9,82674.15,1,1,0,41970.72,0,False,True
15599195,582,32,1,88938.62,1,1,1,10054.53,0,True,True
15812878,785,36,2,99806.85,1,0,1,36976.52,0,True,False
15744689,479,35,9,92833.89,1,1,0,99449.86,1,True,True
15803526,685,30,3,90536.81,1,0,1,63082.88,0,True,True
15665790,538,39,7,108055.1,2,1,0,27231.26,0,True,True
15715951,562,42,2,100238.35,1,0,0,86797.41,0,False,True
15609618,721,28,9,154475.54,2,0,1,101300.94,1,True,True
15675522,628,30,9,132351.29,2,1,1,74169.13,0,True,False
15705512,668,37,6,167864.4,1,1,0,115638.29,0,True,False
15698028,506,41,1,0.0,2,1,0,31766.3,0,False,False
